"","Estudiante","nodos","aristas","densidad","diametro","long.med.cam","grado_medio","modularidad","coeficiente_cluster","Dropout"
"243","E000610",60,60,0.02,11,3.5,2,0.77,0,0
"244","E000613",60,35,0.01,8,2.79,1.17,0.76,0,0
"245","E000615",60,59,0.02,11,3.32,1.97,0.75,0,1
"246","E000623",60,15,0,2,1.2,0.5,0.83,0,0
"247","E000630",60,12,0,1,1,0.4,0.76,NA,0
"248","E000631",60,38,0.01,9,2.9,1.27,0.76,0,0
"249","E000632",60,64,0.02,11,3.25,2.13,0.77,0,0
"250","E000638",60,8,0,0,NA,0.27,0.66,NA,1
"251","E000639",60,56,0.02,7,2.43,1.87,0.75,0,1
"252","E000641",60,7,0,0,NA,0.23,0.65,NA,0
"253","E000642",60,2,0,0,NA,0.07,0,NA,1
"254","E000644",60,49,0.01,11,3.39,1.63,0.77,0,0
"255","E000645",60,14,0,1,1,0.47,0.6,NA,0
"256","E000648",60,2,0,2,1.33,0.07,-0.38,0,0
"257","E000650",60,3,0,1,1,0.1,0.44,NA,0
"258","E000652",60,19,0.01,2,1.25,0.63,0.84,0,0
"259","E000654",60,14,0,4,1.65,0.47,0.69,0,0
"260","E000655",60,14,0,2,1.25,0.47,0.72,0,0
"261","E000656",60,32,0.01,9,2.79,1.07,0.76,0,1
"262","E000658",60,2,0,2,1.33,0.07,-0.38,0,1
"263","E000659",60,49,0.01,4,2.05,1.63,0.8,0,0
"264","E000660",60,2,0,2,1.33,0.07,-0.38,0,0
"265","E000662",60,61,0.02,8,2.88,2.03,0.78,0,0
"266","E000667",60,33,0.01,5,1.97,1.1,0.75,0,1
"267","E000668",60,58,0.02,11,3.26,1.93,0.76,0,1
"268","E000669",60,2,0,0,NA,0.07,0,NA,1
"269","E00067",60,2,0,0,NA,0.07,0,NA,0
"270","E000673",60,59,0.02,11,3.36,1.97,0.77,0,0
"271","E000674",60,8,0,1,1,0.27,0.66,NA,0
"272","E00068",60,16,0,2,1.33,0.53,0.77,0,0
"273","E000681",60,1,0,1,1,0.03,-0.5,NA,0
"274","E000682",60,4,0,0,NA,0.13,0.5,NA,0
"275","E000685",60,8,0,0,NA,0.27,0.66,NA,0
"276","E000687",60,48,0.01,8,2.65,1.6,0.8,0,0
"277","E000688",60,15,0,2,1.22,0.5,0.83,0,0
"278","E00069",60,25,0.01,2,1.31,0.83,0.84,0,0
"279","E000692",60,7,0,1,1,0.23,0.78,0,1
"280","E000693",60,7,0,1,1,0.23,0.65,NA,1
"281","E00072",60,17,0,2,1.33,0.57,0.81,0,0
"282","E00073",60,35,0.01,9,2.73,1.17,0.75,0,1
"283","E00074",60,9,0,4,1.79,0.3,0.49,0,1
"284","E00075",60,9,0,2,1.3,0.3,0.49,0,1
"285","E00079",60,68,0.02,11,4.06,2.27,0.79,0,0
"286","E00080",60,35,0.01,6,2.11,1.17,0.77,0,1
"287","E00082",60,52,0.01,4,2.05,1.73,0.77,0,0
