"estudiante","agno","semestre","evaluacion","curso","estado"
"E0002",2011,1,0.00940583143257285,"A00038","CURSADA"
"E0002",2011,2,0.0107031874922381,"A00048","CURSADA"
"E0002",2011,2,0.0092436619251147,"A00043","CURSADA"
"E0002",2011,2,0.00940583143257285,"A00040","CURSADA"
"E0002",2011,2,0.0107031874922381,"A00049","CURSADA"
"E0002",2011,2,0,"A00042","CURSADA"
"E0002",2011,2,0.0103788484773218,"A00050","CURSADA"
"E0002",2011,2,0.0092436619251147,"A00041","CURSADA"
"E0002",2012,1,0,"A00051","CURSADA"
"E0002",2012,1,0.0111896960146125,"A00052","CURSADA"
"E0002",2012,1,0.00908149241765654,"A00053","CURSADA"
"E0002",2012,1,0.0105410179847799,"A00039","CURSADA"
"E0002",2012,1,0.0108653569996962,"A00054","CURSADA"
"E0003",2009,2,0.00973017044748915,"A00055","CURSADA"
"E0003",2009,2,0.0064867802983261,"A00056","CURSADA"
"E0003",2009,2,0.00243254261187229,"A00057","CURSADA"
"E0003",2009,2,0.00551376325357719,"A00058","CURSADA"
"E0003",2009,2,0.00356772916407936,"A00059","CURSADA"
"E0003",2010,1,0.00778413635799132,"A00060","CURSADA"
"E0003",2010,1,0,"A00061","ANULADA"
"E0003",2010,1,0.00291905113424675,"A00059","CURSADA"
"E0003",2010,1,0.00664894980578425,"A00058","CURSADA"
"E0003",2010,1,0.00291905113424675,"A00057","CURSADA"
"E0003",2010,2,0.00275688162678859,"A00062","CURSADA"
"E0003",2010,2,0.00162169507458153,"A00061","CURSADA"
"E0003",2010,2,0,"A00057","ANULADA"
"E0003",2010,2,0.00194603408949783,"A00059","CURSADA"
"E0003",2011,1,0.00502725473120273,"A00062","CURSADA"
"E0003",2011,1,0.00210820359695598,"A00061","CURSADA"
"E0003",2011,1,0.00567593276103534,"A00059","CURSADA"
"E0003",2011,1,0.0064867802983261,"A00057","CURSADA"
"E0003",2011,2,0.00697328882070056,"A00062","CURSADA"
"E0003",2011,2,0.00713545832815871,"A00061","CURSADA"
"E0003",2011,2,0.0098923399549473,"A00059","CURSADA"
"E0003",2012,1,0.00291905113424675,"A0002","CURSADA"
"E0003",2012,1,0.00535159374611903,"A00063","CURSADA"
"E0003",2012,1,0.00389206817899566,"A00064","CURSADA"
"E0003",2012,1,0.00227037310441414,"A0005","CURSADA"
"E0003",2012,1,0.00502725473120273,"A00065","CURSADA"
"E0003",2012,2,0,"A0002","ANULADA"
"E0003",2012,2,0.00810847537290763,"A00063","CURSADA"
"E0003",2012,2,0,"A00065","ANULADA"
"E0003",2012,2,0,"A00064","ANULADA"
"E0003",2013,1,0.00567593276103534,"A0002","CURSADA"
"E0003",2013,1,0.00681111931324241,"A00064","CURSADA"
"E0003",2013,1,0.0030812206417049,"A00065","CURSADA"
"E0003",2013,1,0.00697328882070056,"A0005","CURSADA"
"E0004",2015,1,0.00843281438782393,"A00066","CURSADA"
"E0004",2015,1,0.00372989867153751,"A00067","CURSADA"
"E0004",2015,1,0.00827064488036578,"A00068","CURSADA"
"E0004",2015,1,0,"A00069","CURSADA"
"E0004",2015,1,0.00275688162678859,"A00070","CURSADA"
"E0004",2015,2,0.0064867802983261,"A00067","CURSADA"
"E0004",2015,2,0.00600027177595164,"A00071","CURSADA"
"E0004",2015,2,0.00372989867153751,"A00070","CURSADA"
"E0004",2015,2,0.00291905113424675,"A00069","CURSADA"
"E0004",2015,2,0.00583810226849349,"A00072","CURSADA"
"E0004",2015,2,0,"A00073","CURSADA"
"E0005",2012,1,0.00940583143257285,"A00074","CURSADA"
