"","Estudiante","c_enrrolado","c_aprobados","sem_cursados","c_bajo_media","c_repetidos","c_mas_repetido","veces_c_mas_repetidos","PGA","PSP_RE_1","PSP_RE_2","PSP_RE_3","PSP_RE_4","PSP_RE_5","PSP_RE_6","PSP_RE_7","PSP_RE_8","PSP_ABS_1","PSP_ABS_2","PSP_ABS_3","PSP_ABS_4","PSP_ABS_5","PSP_ABS_6","PSP_ABS_7","PSP_ABS_8","aristas","densidad","diametro","long.med.cam","grado_medio","modularidad","Dropout"
"187","E000475",69,56,11,19,9,"A00057",3,0.00836041785714,0.00551376328804,0.00480021750554,0.00535159380524,0.0075949387004,0.00810847532315,0.00837875786237,0.00639411201701,0.00806214128222,0.0074598,0.00805442,0.00570296166667,0.00716248666667,0.00883822833333,0.003275824,0.00786522,0.00792314571429,58,0.02,11,3.21,1.93,0.78,1
"188","E000480",40,19,8,14,15,"A00058",3,0.00759636052632,0.0061856083838,0.00418397337198,0.0045731801074,0.00531915985048,0.0041515394114,0.00636515312362,0.00263525452465,0.0053515937645,0.00149196,0.00062165,0,0,0,0,0,0,10,0,2,1.33,0.33,0.64,0
"189","E000483",76,57,12,28,16,"A00065",3,0.00808286947368,0.00740574098503,0.00735168438405,0.00610838492867,0.0066489498131,0.00724357141492,0.00706595721255,0.00685745357935,0.00741346333442,0.007330064,0.00743277166667,0.00616244166667,0.007054375,0.00840578166667,0.006973286,0.00737871333333,0.00748296,65,0.02,8,3.22,2.17,0.78,0
"190","E000484",41,15,10,19,20,"A00080",5,0.00833551066667,0.0044712449557,0.00581107405014,0.00516239608017,0.00664894992951,0.0048110287947,0.00640569557436,0.00450020382414,0.0036082714214,0.001524394,0,0,0,0,0,0,0,9,0,0,0,0.3,0.67,0
"191","E000491",12,4,3,5,4,"A00058",2,0.0079868475,0.00616244133562,0.00564349880442,0.00235145789338,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.17,0.48,1
"192","E000494",41,19,8,17,16,"A00057",3,0.00739151526316,0.00461024751088,0.0051083395568,0.00741925509647,0.00267579685897,0.0027163393097,0.00596783799119,0.00563539046561,0.00546742922493,0.003308256,0,0.001919005,0,0,0,0,0,17,0,2,1.33,0.57,0.79,0
"193","E000496",34,15,7,16,17,"A00059",5,0.00705978,0.00583810226193,0.00460561406799,0.0042569496436,0.00625974303111,0.00411910549738,0.00470291581005,0.00637866742909,0,0.00132979,0,0,0,0,0,0,0,17,0,0,0,0.57,0.77,0
"194","E000497",51,38,8,36,9,"A0009",1,0.00778840368421,0.00735168438405,0.00716248651346,0.00529753734979,0.00773780214201,0.00595393763589,0.00642596674152,0.00575701760439,0.00644623790868,0.001297356,0.00562187666667,0.00367584166667,0.00708140333333,0.006865175,0.002886618,0.007351685,0.00697329428571,49,0.01,10,3.11,1.63,0.74,1
"195","E000498",40,27,8,11,10,"A00080",2,0.00756190444444,0.00600027179878,0.00606513964012,0.00583810225362,0.00561106498353,0.00745979727556,0.00580566851422,0.00544889550656,0.00740574067459,0.00457318,0.00508131166667,0.00391909666667,0,0.0012433,0,0,0,14,0,2,1.29,0.47,0.83,0
"196","E00050",33,27,7,16,2,"A00019",1,0.00807243814815,0.00642191246152,0.005870536156,0.00713545829058,0.00837875793998,0.00854092751009,0.00450020388234,0,0,0.00132979,0.00221631666667,0,0.00524348333333,0.002973105,0.001686562,0.00713546,0.00465658,11,0,2,1.12,0.37,0.83,1
"197","E000504",38,33,7,15,2,"A00025",1,0.00848686939394,0.00713545829058,0.0068111193832,0.00806793291122,0.0078073034196,0.00548673514277,0.0079260347411,0.0106058856472,0,0.001427092,0.00600027333333,0.00294608166667,0.00743277,0.005594855,0.00175143,0.00637866666667,0.00739029714286,28,0.01,6,2.04,0.93,0.77,1
"198","E000505",31,27,4,14,0,"",0,0.00871511111111,0.00664894989071,0.00870309708019,0.00774809873352,0.00734627870843,0,0,0,0,0.001459526,0,0.001324385,0.004892115,0.00464885166667,0.006000284,0.00545970666667,0.00701962142857,16,0,4,1.52,0.53,0.75,1
"199","E000508",87,64,14,34,17,"A0005",3,0.008100875625,0.00734396192378,0.00829767327135,0.00518942422544,0.00723276017234,0.00514888192993,0.00545970676467,0.00660840747878,0.00627055438235,0.007005724,0.00745979833333,0.006297585,0.00751385666667,0.00764899333333,0.004767784,0.00832470166667,0.00725129714286,67,0.02,11,3.5,2.23,0.76,0
"200","E000509",11,5,4,7,2,"A00079",2,0.007459796,0.00754088233225,0.00616244133562,0.00329744668367,0.00383801176213,0,0,0,0,0.001394658,0,0.00143249666667,0,0.000486508333333,0,0,0,0,0,0,0,0,0,1
"201","E00051",52,45,9,10,3,"A0004",1,0.00908509733333,0.00820577731356,0.00723275989294,0.00781657034531,0.00736249573529,0.0092436619103,0.00947533281786,0.00859498392258,0.00773780207549,0.00499482,0.00881120666667,0.00778413166667,0.00875715166667,0.00883823833333,0.00580567,0.00921664,0.00829381428571,48,0.01,10,3.46,1.6,0.74,1
"202","E000514",41,32,9,12,4,"A0004",2,0.00849363,0.00800036235402,0.00855444162153,0.00591918690285,0.00581107397253,0.00748296447897,0.00835172979472,0.00596783794463,0.00427046371624,0.00282175,0.00108113,0.00159466666667,0.00786522166667,0.00583810666667,0.001848732,0.00859498666667,0.00699645571429,29,0.01,4,1.79,0.97,0.76,1
"203","E000517",46,36,8,26,6,"A0007",1,0.00803640222222,0.00675706285983,0.00713545829058,0.00700572263449,0.00802739065451,0.0050475258613,0.00677057699068,0.00800036235402,0.00796947295644,0.001362224,0.00278391,0.00370287,0.00694626166667,0.00678409833333,0.00314609,0.00775710833333,0.00678795714286,42,0.01,10,3.04,1.4,0.76,1
"204","E00052",27,13,6,22,6,"A00022",2,0.00779660923077,0.00691923235233,0.00559484807309,0.00694626057521,0.00443263326694,0.00697328872047,0.00445966148982,0,0,0.001394658,0.00062165,0.00397315166667,0.00310824833333,0.00091896,0.001135186,0.0035407,0.000996184285714,19,0.01,4,1.75,0.63,0.68,1
"205","E000521",39,16,8,22,17,"A00059",3,0.007551018125,0.00521259132906,0.00510833947919,0.00415153950453,0.0035677292035,0.0061218990013,0.00701383128762,0.00397315295413,0.00489751910791,0,0,0,0,0,0,0,0,10,0,0,0,0.33,0.66,0
"206","E000529",29,23,3,5,2,"A00015",1,0.00796745695652,0.00641046529499,0.00648678028956,0.00727446077924,0,0,0,0,0,0.003989368,0.00294607833333,0.00151358166667,0,0,0,0,0,2,0,0,0,0.07,0,0
"207","E000531",60,51,10,8,3,"A0005",1,0.00878576980392,0.008627417963,0.00721654311443,0.00790576369036,0.00927609596401,0.00804360751063,0.00791927753016,0.00815480960799,0.00837200076785,0.007200324,0.00813550333333,0.00705437166667,0.00843281333333,0.008865265,0.003794762,0.00859498333333,0.00806214285714,52,0.01,10,3.36,1.73,0.74,1
"208","E000535",19,15,5,8,1,"A00010",1,0.00815172,0.00612189888489,0.00762196676806,0.00887878029607,0.00755709912628,0,0,0,0,0.007427366,0.00662192166667,0.005919185,0,0.00351367166667,0,0,0,11,0,2,1.31,0.37,0.69,1
"209","E000538",74,61,12,22,8,"A0002",2,0.00800745213115,0.00752929850881,0.00787680469719,0.00616244133562,0.00578404582726,0.00675706278222,0.00878958720714,0.00637866719626,0.00810847531206,0.007394932,0.00783819333333,0.00605432666667,0.00743277166667,0.00694625333333,0.00282175,0.00810847666667,0.00681111428571,49,0.01,8,2.36,1.63,0.78,0
"210","E00054",72,62,12,10,4,"A00057",2,0.00884085032258,0.00796947295644,0.00695012173881,0.00748682557605,0.008189560147,0.00720495950165,0.00954483382936,0.00875715325986,0.0089463510861,0.007849008,0.00894635833333,0.00781116333333,0.00864903666667,0.00913554833333,0.0042164,0.00875714,0.00769146571429,47,0.01,8,2.7,1.57,0.81,0
"211","E000540",45,39,9,24,2,"A0007",1,0.00829975025641,0.00797873986885,0.00616244125801,0.00709491595626,0.00833551269025,0.00830307891592,0.00660261565021,0.00564890448004,0.00932474659445,0.001297356,0.00635164,0.004243435,0.006730035,0.00859498333333,0.005708356,0.00816253166667,0.00697328857143,36,0.01,8,2.8,1.2,0.75,1
"212","E000541",24,22,4,0,1,"A00059",1,0.00857286909091,0.00755246562351,0.00745979743078,0.00851389913199,0.00917879398912,0,0,0,0,0.005513762,0.00143249666667,0,0,0,0,0,0,3,0,1,1,0.1,0.44,0
"213","E000544",29,20,6,10,6,"A00059",2,0.008213888,0.00891932286322,0.00529753727218,0.00713545829058,0.00869228541851,0.00417586485855,0.00482454290614,0,0,0.00350286,0.00108113,0,0,0,0,0,0,7,0,0,0,0.23,0.65,0
